Dam Name,eap,status,hazard,county,lat,lng,river_stream,basin,nearest_town,distance_to_town,year,type_modify_repair,modify_year,structural_height,pool_cap,max_impound,condition,icon,last_inspection,next_inspection,owner,owner_type
Hinson Pond Dam,N,IMPOUNDING,High,Stanly,35.25944,-80.34722,Stony Run-Os,Yadkin-PeeDee,,,,,,18.0,,35 ,Fair,greenRound, 10/29/2014, 10/01/2015,Joyce H Hill,Private
Brooks Dam,N,IMPOUNDING,High,Stanly,35.42361,-80.29361,Long Creek-Tr,Yadkin-PeeDee,Albemarle,7 ,1980 ,,,29.0,63 ,132 ,Fair,greenRound, 10/29/2014, 10/01/2015,"Spurgeon Brooks, et al",Private
George Sells Dam,N,IMPOUNDING,High,Stanly,35.46278,-80.30222,Long Creek-Tr,Yadkin-PeeDee,Albemarle,11 ,,,,16.2,25 ,29 ,Fair,greenRound, 10/15/2014, 10/01/2015,George Sells,Private
Willowcroft Dam,N,IMPOUNDING,High,Union,35.0655,-80.7195,West Fork Twelve Mile Creek,Catawba,,,,,,8.1,0 ,4 ,Not Rated,blueRound, 09/10/2014, 10/01/2015,Meritage Homes,Private
Snyder Pond Dam,N,IMPOUNDING,High,Stanly,35.488,-80.217,Rices Creek-Os,Yadkin-PeeDee,Badin,12 ,,,,23.0,,37 ,Fair,greenRound, 10/15/2014, 10/01/2015,,Unknown
Smoky Mountain Sanctuary POA Dam,N,IMPOUNDING,High,Haywood,35.45779,-82.97688,Farmers Branch,French Broad,Waynesville,,0 ,,,40.0,0 ,16 ,Satisfactory,greenRound, 09/30/2013, 02/27/2018,Smoky Mountain Santuary HOA,Private
Joyner Lake Dam,N,IMPOUNDING,High,Forsyth,36.125,-80.11083,Kerners Mill Creek-Tr,Yadkin-PeeDee,Guthrie,3 ,1923 ,,,12.0,80 ,96 ,Fair,greenRound, 10/02/2014, 10/02/2015,William and Cheryl Kiger,Private
Hauser Lake Dam,N,IMPOUNDING,High,Forsyth,36.102,-80.109,Smith Creek-Tr,Yadkin-PeeDee,Guthrie,4 ,,,,18.0,13 ,14 ,Satisfactory,greenRound, 10/02/2014, 10/02/2015,Paul & Paula Reich,Private
Carolina Stalite Dam,Y,IMPOUNDING,High,Stanly,35.22222,-80.24583,Long Branch,Yadkin-PeeDee,Aquadale,1 ,1973 ,,,60.0,330 ,396 ,Fair,greenRound, 10/29/2014, 10/05/2015,"Aquadale Properties, LLC",Private
Forest at Duke Dam,N,IMPOUNDING,High,Durham,35.9725,-78.9518,,Cape Fear,,,,,,,,,Not recorded,blueRound,,,,Unknown
Audie Murphy Irrigation Pond,Y,IMPOUNDING,High,Greene,35.5352,-77.8205,Unnamed tributary to Appletree,Neuse,Lindell,,,,,17.5,116 ,0 ,Not recorded,blueRound,,,,Unknown
River Road Dam,N,IMPOUNDING,High,Montgomery,35.3607,-80.0404,Big Island Creek,Yadkin-PeeDee,Troy,,,,,,,,Not recorded,blueRound,,,,Unknown
4335 Union County Human Services,N,IMPOUNDING,High,Union,35.0100,-80.5458,Tributary to Stewarts Creek,Yadkin-PeeDee,Hillsdale,,,,,,,,Not recorded,blueRound,,,,Unknown
Bedford at Falls River Dam #1,N,IMPOUNDING,High,Wake,35.9300,-78.5679,,Neuse,,,2004 ,,,39.0,,4 ,Not recorded,blueRound,,,,Unknown
Kera Gardens Dam,N,IMPOUNDING,High,Wake,35.8105,-78.7743,unnamed trib to crabtree creek,Neuse,Raleigh,,0 ,,,,,,Not recorded,blueRound,,,,Unknown
Ruth Bryan Dam,N,IMPOUNDING,High,Wayne,35.4051,-78.0492,,Neuse,,,2000 ,,,13.0,,52 ,Not recorded,blueRound,,,,Unknown
McFayden Lake Dam,Y,IMPOUNDING,High,Cumberland,35.15722,-79.01083,Tank Creek,Cape Fear,Pope Air Force Base,1 ,1970 ,Repair,2005,14.0,52 ,65 ,Fair,greenRound, 12/10/2014, 12/10/2014,Dod-Usa,Federal
Houston Dam,Y,IMPOUNDING,High,Macon,35.09872,-83.20428,Houston Branch,Little Tennessee,Highlands,3 ,1926 ,,,12.3,14 ,22 ,Fair,greenRound, 04/09/2015, 04/09/2017,USDA National Forests in North Carolina,Federal
Cliffside Lake Dam,N,IMPOUNDING,High,Macon,35.079,-83.236,Skitty Creek,Little Tennessee,Franklin,10 ,1936 ,,,20.0,150 ,175 ,Fair,greenRound, 07/23/2015, 07/23/2017,U. S. Forest Service-Nantahala Ranger District,Federal
Little Muddy Lake Dam,N,IMPOUNDING,High,Scotland,35.029998,-79.460998,Big Muddy Creek,Lumber,Wagram,9 ,1937 ,Repair,1969,15.0,120 ,180 ,Fair,greenRound, 12/10/2014, 12/10/2014,Dod Usa,Federal
Lake Cammack Dam,Y,IMPOUNDING,High,Alamance,36.1774,-79.4113,Stony Creek,Cape Fear,Carolina,3 ,,,,60.5,23000 ,36000 ,Satisfactory,greenRound, 10/30/2014, 10/30/2015,City Of Burlington,Local government
Moss Lake Dam,Y,IMPOUNDING,High,Cleveland,35.276,-81.457,Buffalo Creek,Broad,Earl Station,8 ,1973 ,Repair,2006,99.0,35600 ,51032 ,Poor,redRound, 07/28/2015, 07/22/2015,City Of Kings Mountain,Local government
Back Creek Reservoir,Y,IMPOUNDING,High,Alamance,36.10027,-79.33030,East Back Creek,Cape Fear,Haw River,,1991 ,,,40.3,7057 ,10645 ,Satisfactory,greenRound, 10/07/2014, 10/07/2015,City of Graham,Local government
Lake Mackintosh Dam,Y,IMPOUNDING,High,Alamance,36.04039,-79.50353,Great Alamance Creek,Cape Fear,Alamance,1 ,1992 ,,,68.5,23000 ,30825 ,Satisfactory,greenRound, 11/20/2014, 11/20/2015,City Of Burlington,Local government
Winston Lake Dam,N,IMPOUNDING,High,Forsyth,36.113,-80.201,Frazier Creek,Yadkin-PeeDee,Winston-Salem,1 ,1919 ,,,40.0,1104 ,1368 ,Poor,redRound, 11/12/2014, 11/12/2015,City of Winston-Salem,Local government
Town Fork Creek W/S Dam #16,Y,IMPOUNDING,High,Stokes,36.325,-80.263,Neatmans Creek,Roanoke,Walnut Cove,14 ,1968 ,,,88.0,504 ,3617 ,Poor,redRound, 02/04/2015, 02/04/2016,Stokes Co. Soil & Water Conservation District,Local government
Boiling Springs Lake Dam,N,IMPOUNDING,High,Brunswick,34.0462,-78.0373,Allen Creek,Cape Fear,Orton,6 ,1964 ,,,30.0,3000 ,3600 ,Satisfactory,greenRound, 04/09/2015, 04/01/2016,Boiling Springs Lake Development,Local government
Shallotte Wastewater Lagoon No. 1,N,IMPOUNDING,High,Brunswick,33.99722,-78.37778,Shallotte River,Lumber,Shallotte,1 ,1970 ,,,18.0,70 ,100 ,Satisfactory,greenRound, 01/14/2015, 05/29/2016,Town Of Shallotte,Local government
Shallotte Wastewater Lagoon No. 2,N,IMPOUNDING,High,Brunswick,33.99444,-78.37778,Shallotte River,Lumber,Shallotte,1 ,1997 ,,,22.0,180 ,240 ,Satisfactory,greenRound, 01/14/2015, 02/01/2016,Town Of Shallotte,Local government
Bee Tree Lake Dam,Y,IMPOUNDING,High,Buncombe,35.6412,-82.4010,Bee Tree Creek,French Broad,Swannanoa,3 ,1927 ,Repair,2004,182.0,2017 ,2800 ,Fair,greenRound, 04/16/2015, 04/16/2016,City of Asheville Department of Water Resources,Local government
Black Mountain Reservoir Dam,Y,IMPOUNDING,High,Buncombe,35.61078,-82.28731,Swannanoa River-Trib,French Broad,Black Mtn,2 ,,,,45.5,48 ,56 ,Fair,greenRound, 04/02/2015, 04/02/2016,Town of Black Mountain,Local government
Town Fork Creek W/S Dam #7,N,IMPOUNDING,High,Stokes,36.2616,-80.2125,Red Bank Creek,Roanoke,Walnut Cove,3 ,1981 ,,,44.5,169 ,338 ,Poor,redRound, 01/13/2015, 01/13/2016,Stokes S & W Cons. District,Local government
North Fork Reservoir Dam,N,IMPOUNDING,High,Buncombe,35.6615,-82.3448,North Fork Swannanoa River,French Broad,Swannanoa,6 ,1954 ,Repair,2009,134.0,17600 ,21700 ,Fair,greenRound, 04/16/2015, 04/16/2016,City of Asheville Department of Water Resources,Local government
Arran Lakes Dam,N,IMPOUNDING,High,Cumberland,35.029,-78.981,Little Beaver Creek,Cape Fear,Fayetteville,,1958 ,,,21.0,120 ,144 ,Poor,redRound, 01/14/2015, 01/14/2016,City of Fayetteville,Local government
Little Yadkin River W/S Dam #12,Y,IMPOUNDING,High,Stokes,36.362,-80.358,E Prong Little Yadkin Rvr-Tr,Yadkin-PeeDee,Pinnacle,10 ,1989 ,,,32.5,102 ,130 ,Poor,redRound, 01/15/2015, 01/15/2016,Stokes Soil & Water Conservation District,Local government
MSD Treatment Plant Dam,Y,IMPOUNDING,High,Buncombe,35.64556,-82.59639,French Broad River-Tr,French Broad,Alexander,6 ,1967 ,,,75.0,276 ,385 ,Fair,greenRound, 04/07/2015, 04/01/2016,Metropolitian Sewerage District,Local government
Lake Tomahawk Dam,Y,IMPOUNDING,High,Buncombe,35.61735,-82.32897,Tomahawk Branch,French Broad,Black Mountain,,1935 ,,,22.0,45 ,85 ,Satisfactory,greenRound, 07/31/2015, 01/25/2016,Town Of Black Mountain,Local government
Woodfin Reservoir Dam,Y,IMPOUNDING,High,Buncombe,35.7002,-82.4356,Sugar Camp Fork,French Broad,Beech Community,3 ,,,,81.0,97 ,157 ,Fair,greenRound, 03/25/2015, 03/27/2016,Woodfin Sanitary Water and Sewer District,Local government
Dutchmans Creek W/S Dam #6 (Pl-566),Y,IMPOUNDING,High,Davie,35.99,-80.597,Greasy Creek,Yadkin-PeeDee,High Rock,47 ,1975 ,,,31.0,100 ,616 ,Poor,redRound, 12/09/2014, 12/09/2015,Dutchman Creek W/S Improvement Dist.,Local government
Town Fork Creek W/S Dam #13,Y,IMPOUNDING,High,Stokes,36.29639,-80.21028,Watts Creek,Roanoke,Walnut Cove,6 ,1970 ,,,41.5,99 ,579 ,Poor,redRound, 01/13/2015, 01/13/2016,Stokes County W/S Commission,Local government
Lake Concord Dam,Y,IMPOUNDING,High,Cabarrus,35.47805,-80.58494,Cold Water Creek-Tr,Yadkin-PeeDee,Kanannapolis,0 ,1926 ,Repair,1999,31.0,823 ,987 ,Satisfactory,greenRound, 10/22/2014, 10/22/2015,Cabarrus County,Local government
Lake Fisher Dam,Y,IMPOUNDING,High,Cabarrus,35.486,-80.578,Cold Water Creek,Yadkin-PeeDee,Concord,4 ,1948 ,Repair,1992,50.0,2813 ,6511 ,Fair,greenRound, 12/04/2014, 12/04/2015,City Of Concord,Local government
Black Run Creek Dam,Y,IMPOUNDING,High,Cabarrus,35.44083,-80.4375,Black Run Creek,Yadkin-PeeDee,Mt Pleasant,5 ,1988 ,,,48.0,1200 ,1536 ,Fair,greenRound, 12/04/2014, 12/04/2015,Water & Sewer Authority of Cabarrus County,Local government
Lake Don T. Howell Dam,Y,IMPOUNDING,High,Cabarrus,35.43972,-80.69722,Coddle Creek,Yadkin-PeeDee,Concord,,1993 ,Repair,2000,55.0,,36400 ,Satisfactory,greenRound, 01/27/2015, 01/27/2016,Cabarrus County,Local government
Broyhill Walking Park Dam,Y,IMPOUNDING,High,Caldwell,35.9032,-81.5252,Trib to Lower Creek,Catawba,Lenoir,,,,,20.0,0 ,11 ,Fair,greenRound, 02/12/2015, 02/12/2016,City of Lenoir,Local government
Little Yadkin River W/S Dam #13a,N,IMPOUNDING,High,Stokes,36.35611,-80.34778,E Prong Little Yadkin River-Tr,Yadkin-PeeDee,,,1990 ,,,31.3,77 ,125 ,Poor,redRound, 01/15/2015, 01/15/2016,Stokes Co. Soil & Water Conservation District,Local government
Country Line W/S #1(Farmer Lk) (Pl-566),Y,IMPOUNDING,High,Caswell,36.38495,-79.36121,Country Line Creek,Roanoke,Milton,16 ,1983 ,,,76.8,6106 ,15268 ,Fair,greenRound, 03/18/2015, 03/18/2016,Caswell County,Local government
Newton City Lake Dam,Y,IMPOUNDING,High,Catawba,35.65556,-81.25028,Clark Creek-Tr,Catawba,Newton,2 ,1936 ,,,25.0,102 ,122 ,Satisfactory,greenRound, 03/03/2015, 03/03/2016,City Of Newton,Local government
Charles L. Turner Reservoir Dam,Y,IMPOUNDING,High,Chatham,35.763,-79.456,Rocky River,Cape Fear,Siler City,4 ,2009 ,Modify,2009,12.0,120 ,150 ,Satisfactory,greenRound, 06/30/2014, 09/09/9999,Town Of Siler City,Local government
Andrews Water Supply Dam,N,IMPOUNDING,High,Cherokee,35.218,-83.843,Dan Holland Creek,Hiwassee,Andrews,1 ,1986 ,,,85.0,1000 ,1500 ,Fair,greenRound, 05/14/2015, 05/14/2016,Town Of Andrews,Local government
Kings Mountain City Lake Dam #2,N,IMPOUNDING,High,Cleveland,35.194,-81.354,Kings Creek-Tr,Broad,Kings Cr Sc,11 ,1954 ,Repair,1996,60.5,595 ,714 ,Fair,greenRound, 10/16/2014, 10/16/2015,City Of Kings Mountain,Local government
Cleveland Co. Sanitary District Water Storage Reservoir Dam,Y,IMPOUNDING,High,Cleveland,35.43453,-81.56608,UT to First Broad River,Broad,Lawndale,,2010 ,,,53.0,123 ,150 ,Satisfactory,greenRound, 12/17/2014, 12/17/2015,Cleveland County Sanitary District,Local government
Little Yadkin River W/S Dam #20,N,IMPOUNDING,High,Stokes,36.37278,-80.3275,E Prong Little Yadkin River-Tr,Yadkin-PeeDee,,,1990 ,,,28.8,47 ,73 ,Poor,redRound, 01/15/2015, 01/15/2016,Stokes Co. Soil & Water Conservation District,Local government
The Lakes Dam,Y,IMPOUNDING,High,Cumberland,35.074,-78.98,Beaver Creek-Os,Cape Fear,Pine Knoll,4 ,1980 ,Repair,2009,17.5,17 ,22 ,Fair,greenRound, 08/04/2015, 08/04/2016,Fayetteville Public Works Commission,Local government
Glenville Lake Dam,Y,IMPOUNDING,High,Cumberland,35.06913,-78.89680,Little Cross Creek,Cape Fear,Fayetteville,1 ,1909 ,Repair,1992,16.0,132 ,242 ,Fair,greenRound, 02/06/2015, 02/06/2016,Fayetteville Public Works Comm.,Local government
Bonnie Doone Lake Dam,Y,IMPOUNDING,High,Cumberland,35.10964,-78.94382,Little Cross Creek,Cape Fear,Fayetteville,3 ,1920 ,Repair,1981,15.0,110 ,200 ,Fair,greenRound, 02/06/2015, 02/06/2016,Fayetteville Public Works Commission,Local government
Little Yadkin River W/S Dam #14/16,N,IMPOUNDING,High,Stokes,36.36583,-80.34333,E Prong Little Yadkin River-Tr,Yadkin-PeeDee,,,,,,18.7,43 ,89 ,Poor,redRound, 01/15/2015, 01/15/2016,Stokes Co. Soil & Water Conservation District,Local government
Lexington Storage Reservoir Dam,Y,IMPOUNDING,High,Davidson,35.858,-80.215,Leonard Creek,Yadkin-PeeDee,Lexington,4 ,1934 ,,,28.0,72 ,110 ,Fair,greenRound, 10/29/2014, 10/29/2015,City Of Lexington,Local government
Lake Tom-A-Lex Dam,Y,IMPOUNDING,High,Davidson,35.871,-80.193,Abbotts Creek,Yadkin-PeeDee,Lexington,5 ,1957 ,,,43.0,8320 ,11180 ,Fair,greenRound, 10/29/2014, 10/29/2015,City of Lexington,Local government
Dutchmans Creek W/S Dam #5,Y,IMPOUNDING,High,Davie,36.01334,-80.63175,Howard Branch,Yadkin-PeeDee,High Rock,52 ,1974 ,,,34.0,100 ,424 ,Fair,greenRound, 12/09/2014, 12/09/2015,Davie Co. Watershed Improvement Commission,Local government
Dutchmans Creek W/S Dam #2,Y,IMPOUNDING,High,Davie,36.0425,-80.65528,Steelman Creek,Yadkin-PeeDee,High Rock,54 ,1974 ,,,29.2,261 ,1389 ,Fair,greenRound, 12/09/2014, 12/09/2015,Davie Co. Watershed Improvement Commission,Local government
Windcrest,N,IMPOUNDING,High,Wake,35.6633,-78.8277,Middle Creek Tributary,Neuse,,,,Modify,2006,21.0,32 ,42 ,Poor,redRound, 01/07/2015, 03/04/2011,"Town of Holly Springs, attn: Mr. Len Bradley",Local government
Dutchmans Creek W/S Dam #8,Y,IMPOUNDING,High,Davie,36,-80.535,Cedar Creek,Yadkin-PeeDee,High Rock,46 ,1970 ,,,28.0,193 ,991 ,Fair,greenRound, 12/09/2014, 12/09/2015,Davie Co. Watershed Improvement Commission,Local government
Dutchman Creek W/S Dam #15A,N,IMPOUNDING,High,Davie,35.8864,-80.4926,Ellsworth Creek,Yadkin-PeeDee,High Rock,35 ,1972 ,,,36.0,362 ,2580 ,Satisfactory,greenRound, 10/23/2014, 10/23/2015,Davie Co. Watershed Improvement Commission,Local government
Dutchman Creek W/S Dam #7 (Pl-566),N,IMPOUNDING,High,Davie,35.963,-80.554,Frost Mill Creek,Yadkin-PeeDee,High Rock,45 ,1985 ,,,29.5,248 ,1351 ,Fair,greenRound, 12/09/2014, 12/09/2015,Dutchman Creek W/S Improvement Dist.,Local government
Dutchman Creek W/S Dam #17,N,IMPOUNDING,High,Davie,36.01944,-80.65389,Dutchman Creek,Yadkin-PeeDee,High Rock?,53 ,1985 ,,,43.0,602 ,5072 ,Fair,greenRound, 11/04/2014, 11/04/2015,Davie Co. Watershed Improvement Commission,Local government
Yanceyville Water Supply Dam,N,IMPOUNDING,High,Caswell,36.392,-79.35,Country Line Creek-Tr,Roanoke,,,1952 ,,,19.0,30 ,38 ,Poor,redRound, 03/18/2015, 03/18/2016,Town Of Yanceyville,Local government
Lake Falmouth Dam,Y,IMPOUNDING,High,Forsyth,36.07034,-80.43362,Ellison Creek-Tr,Yadkin-PeeDee,High Rock,53 ,,,,30.5,75 ,112 ,Fair,greenRound, 09/23/2015, 09/23/2016,Town of Lewisville,Local government
Kernersville Water Supply Dam,N,IMPOUNDING,High,Forsyth,36.15448,-80.10058,Belews Creek,Roanoke,Grimes Crossroads,3 ,1952 ,,,20.0,280 ,300 ,Fair,greenRound, 10/16/2014, 10/16/2015,Town of Kernersville,Local government
Northwest Water Treatment Plant Dam #1,Y,IMPOUNDING,High,Forsyth,36.1486,-80.4161,offstream,Yadkin-PeeDee,,,2003 ,,,41.0,0 ,131 ,Unsatisfactory,redRound, 11/12/2014, 11/12/2015,Winston-Salem/Forsyth Co. Utility Commission,Local government
Northwest Water Treatment Plant Dam #2,Y,IMPOUNDING,High,Forsyth,36.1477,-80.4148,offstream,Yadkin-PeeDee,,,2004 ,,,37.5,0 ,231 ,Satisfactory,greenRound, 11/12/2014, 11/12/2015,Winston-Salem/Forsyth Co. Utility Commission,Local government
Arrowood Lake Dam,N,IMPOUNDING,High,Gaston,35.29694,-81.30001,Long Creek-Trib.,Catawba,Gastonia,10 ,1955 ,Repair,2005,44.0,259 ,440 ,Satisfactory,greenRound, 01/14/2015, 01/09/2016,Town Of Bessemer City,Local government
Town Of Pilot Mountain Dam,N,IMPOUNDING,High,Surry,36.39889,-80.48722,Toms Creek-Tr,Yadkin-PeeDee,Pilot Mountain,,,,,15.0,18 ,24 ,Poor,redRound, 12/17/2014, 12/17/2015,Town Of Pilot Mountain,Local government
Ben Webber Lake Dam,N,IMPOUNDING,High,Gaston,35.30116,-81.32527,Long Creek-Tr,Catawba,Bessemer City,,1982 ,,,34.0,145 ,150 ,Satisfactory,greenRound, 01/14/2015, 01/09/2016,Bessemer City,Local government
Bessemer City Water Treat. Res. Dam,N,IMPOUNDING,High,Gaston,35.28807,-81.29418,Long Creek-Tr,Catawba,,,,,,20.0,,14 ,Satisfactory,greenRound, 04/28/2015, 01/09/2017,Bessemer City,Local government
Poston Park Dam,Y,IMPOUNDING,High,Gaston,35.2825,-81.1065,Houser Branch,Catawba,Lowell,,2010 ,,,44.0,142 ,325 ,Fair,greenRound, 10/08/2014, 10/08/2015,Gaston County Public Works,Local government
Lake Higgins Dam,Y,IMPOUNDING,High,Guilford,36.1686,-79.8799,Brush Creek,Cape Fear,Ossipee,20 ,1956 ,,,34.8,1935 ,5115 ,Satisfactory,greenRound, 01/06/2015, 01/06/2017,City Of Greensboro Water Resources Dept,Local government
Lake Brandt Dam,Y,IMPOUNDING,High,Guilford,36.1709,-79.8373,Reedy Fork,Cape Fear,Ossipee,18 ,1960 ,,,39.4,10131 ,18391 ,Satisfactory,greenRound, 01/29/2014, 01/29/2016,City Of Greensboro Water Resources Dept,Local government
Lake Townsend Dam,Y,IMPOUNDING,High,Guilford,36.18963,-79.73170,Reedy Fork,Cape Fear,Ossipee,15 ,1969 ,,,40.9,20274 ,38285 ,Satisfactory,greenRound, 01/21/2015, 01/15/2017,City Of Greensboro Water Resources Dept,Local government
Oak Hollow Lake Dam,Y,IMPOUNDING,High,Guilford,36.0128,-79.9851,West Fork Deep River,Cape Fear,High Point,,1971 ,,,53.5,10764 ,24500 ,Satisfactory,greenRound, 10/22/2014, 10/22/2016,"City of High Point, Public Services Dept.",Local government
City Lake Dam,Y,IMPOUNDING,High,Guilford,35.9952,-79.9448,Deep River,Cape Fear,Jamestown,2 ,1928 ,,,50.0,8160 ,11694 ,Satisfactory,greenRound, 01/07/2015, 01/07/2017,"City of High Point, Public Services Dept.",Local government
Deep River Pointe-Lower Dam,Y,IMPOUNDING,High,Guilford,36.03611,-79.96694,East Fork Deep River-Tr,Cape Fear,High Point,4 ,,,,17.0,20 ,31 ,Satisfactory,greenRound, 02/18/2014, 02/18/2016,City Of High Point,Local government
Pine Lake Dam,N,IMPOUNDING,High,Guilford,36.02417,-79.84278,South Buffalo Creek-Tr,Cape Fear,Greensboro,,,,,14.6,6 ,9 ,Satisfactory,greenRound, 11/20/2014, 11/20/2016,City Of Greensboro Parks & Rec Dept,Local government
Northline Corporation Dam,Y,IMPOUNDING,High,Guilford,36.0892,-79.8355,North Buffalo Creek-Tr,Cape Fear,Greensboro,,,Repair,1988,19.9,21 ,94 ,Satisfactory,greenRound, 12/09/2014, 12/09/2016,City Of Greensboro Parks & Rec Dept,Local government
Lake Windemere Dam,N,IMPOUNDING,High,Guilford,36.126,-79.85,Horsepen Creek-Tr,Cape Fear,Greensboro,,,,,25.5,26 ,31 ,Satisfactory,greenRound, 01/29/2014, 01/29/2016,City Of Greensboro Parks & Rec Dept,Local government
Hagan Stone Park Dam,N,IMPOUNDING,High,Guilford,35.95,-79.733,Big Alamance Creek-Tr,Cape Fear,,,,,,32.0,96 ,128 ,Satisfactory,greenRound, 01/02/2015, 01/02/2017,City Of Greensboro Parks & Rec Dept,Local government
Piedmont Lake Dam,Y,IMPOUNDING,High,Guilford,36.0526,-79.9485,Trib. East Fork Deep River,Cape Fear,Jamestown,6 ,1993 ,,,26.3,58 ,95 ,Satisfactory,greenRound, 02/12/2014, 02/12/2016,City Of High Point,Local government
Davis Lake Dam,Y,IMPOUNDING,High,Guilford,36.0456,-79.9542,Trib. East Fork Deep River,Cape Fear,Jamestown,6 ,1993 ,,,25.5,138 ,310 ,Satisfactory,greenRound, 02/18/2014, 02/18/2016,City Of High Point,Local government
Brookdale Lake Dam,Y,IMPOUNDING,High,Iredell,35.8015,-80.8757,Fourth Creek-Tr,Yadkin-PeeDee,Statesville,,,Repair,1986,28.0,23 ,34 ,Fair,greenRound, 02/25/2015, 02/01/2016,City Of Statesville,Local government
Statesville Raw Water Reservoir Dam,Y,IMPOUNDING,High,Iredell,35.8410,-80.8842,Fourth Creek - tributary,Yadkin-PeeDee,Statesville,2 ,1973 ,,,37.0,150 ,150 ,Satisfactory,greenRound, 02/23/2015, 01/16/2016,City Of Statesville,Local government
Town of Sylva Water Supply,N,IMPOUNDING,High,Jackson,35.4087,-83.1992,Dills Branch,Little Tennessee,Sylva,2 ,1973 ,,,29.0,0 ,17 ,Fair,greenRound, 05/20/2015, 05/20/2016,Town of Sylva,Local government
City of Cherryville Water Supply Reservoir,N,IMPOUNDING,High,Lincoln,35.4177,-81.3708,Offstream,Catawba,,,,,,17.9,67 ,67 ,Satisfactory,greenRound, 02/19/2015, 02/11/2016,Town of Cherryville,Local government
Sequoyah Dam,Y,IMPOUNDING,High,Macon,35.0675,-83.2249,Cullasaja River,Little Tennessee,Franklin,13 ,1926 ,,,25.0,1980 ,2376 ,Fair,greenRound, 07/23/2015, 07/23/2017,Town Of Highlands,Local government
Mirror Lake Dam,N,IMPOUNDING,High,Macon,35.06333,-83.21444,Cullasaja River,Little Tennessee,Highlands,1 ,1958 ,,,22.0,230 ,230 ,Fair,greenRound, 04/09/2015, 04/09/2017,Mirror Lake Improvement Company,Local government
Mars Hill Water Supply Dam,Y,IMPOUNDING,High,Madison,35.94214,-82.49465,Big Laurel Creek,French Broad,Faust,4 ,1958 ,Modify,1990,48.5,30 ,40 ,Satisfactory,greenRound, 06/19/2014, 06/19/2016,Town Of Mars Hill,Local government
Muddy Creek Dam #3,N,IMPOUNDING,High,McDowell,35.63217,-81.99246,Hicks Branch,Catawba,Morganton,27 ,,,,35.5,72 ,240 ,Satisfactory,greenRound, 02/03/2015, 02/03/2016,McDowell Co. Soil And Water Conservation District,Local government
2nd Broad River W.S. Structure #11-15,N,IMPOUNDING,High,McDowell,35.55897,-81.98077,Scrub Grass Branch (Sw Fk),Broad,Union Mills,3 ,1994 ,,,44.6,7 ,39 ,Satisfactory,greenRound, 02/03/2015, 02/03/2016,Rutherford County Watershed Commission,Local government
2nd Broad River W.S. Structure #11-16(Brevard),N,IMPOUNDING,High,McDowell,35.55889,-81.98080,Scrub Grass Branch (Nw Fk),Broad,Union Mills,3 ,1994 ,,,41.9,8 ,48 ,Satisfactory,greenRound, 02/03/2015, 02/03/2016,Rutherford County Watershed Commission,Local government
Danga Lake Dam,Y,IMPOUNDING,High,Mecklenburg,35.2137,-80.9720,Little Paw Creek,Catawba,Red River Sc,25 ,1954 ,,,17.0,49 ,59 ,Fair,greenRound, 11/20/2014, 11/16/2015,Charlotte Douglas International Airport,Local government
Billingsley Dam,Y,IMPOUNDING,High,Mecklenburg,35.19249,-80.80797,Brier Creek-Os,Catawba,Charlotte,,,,,18.0,,10 ,Fair,greenRound, 12/04/2014, 12/17/2015,Mecklenburg County Real Estate Services Department,Local government
Franklin Treatment Plant 250 Mg Raw Water Reservoir,Y,IMPOUNDING,High,Mecklenburg,35.282,-80.888,Stewart Creek-Tr,Catawba,Charlotte,,1990 ,,,59.0,625 ,777 ,Satisfactory,greenRound, 01/15/2015, 01/23/2016,Charlotte-Mecklenburg Utilities Dept.,Local government
Francis Beatty Park Dam,N,IMPOUNDING,High,Mecklenburg,35.06361,-80.74444,Six Mile Creek,Catawba,Charlotte,,,,,22.4,67 ,67 ,Satisfactory,greenRound, 01/06/2015, 01/03/2016,Meck. Co. Parks & Rec.,Local government
Beaty Dam,Y,IMPOUNDING,High,Mecklenburg,35.5081,-80.8456,Davidson Creek-Tr,Catawba,Davidson,,,,,12.7,,12 ,Fair,greenRound, 10/29/2014, 10/29/2015,Town of Davidson,Local government
Franklin Treatment Plant Raw Water Reservoir,Y,IMPOUNDING,High,Mecklenburg,35.2825,-80.89306,Stewart Creek-Tr,Catawba,Charlotte,,2011 ,Modify,2011,42.0,819 ,917 ,Satisfactory,greenRound, 01/15/2015, 01/23/2016,Charlotte-Mecklenburg Utilities Dept.,Local government
Irwin Creek Flood Protection Dike,Y,IMPOUNDING,High,Mecklenburg,35.19694,-80.90583,Irwin Creek-Os,Catawba,Charlotte,,,Modify,2001,14.0,0 ,0 ,Satisfactory,greenRound, 01/27/2015, 01/16/2016,"Char-Meckl Utility Dept, Engineering Division",Local government
Aberdeen Town Lake Dam,N,IMPOUNDING,High,Moore,35.13861,-79.43028,Aberdeen Creek,Lumber,Aberdeen,1 ,1945 ,Repair,1999,16.0,102 ,262 ,Fair,greenRound, 01/09/2015, 01/09/2016,"Town Of Aberdeen (Lee Baggs, Mgr.)",Local government
Southern Pines Waterworks Dam,N,IMPOUNDING,High,Moore,35.215,-79.401,Mill Creek,Cape Fear,Lakeview,6 ,1924 ,,,26.0,400 ,700 ,Fair,greenRound, 07/30/2015, 07/30/2016,Town Of Southern Pines,Local government
